sec,A,k,f,,,
0,6.364597759,1.755682918,0.052457742,,,
30,5.98655095,1.710649224,0.03277915,,,
60,6.184384954,2.18810136,0.032140775,,,
90,6.859518324,2.28130709,0.051847123,,,
120,8.977485001,3.17091379,0.114657637,,,
150,8.577727998,3.42176965,0.082600128,,,
180,8.729610453,3.377684437,0.082072775,,,
210,10.03613167,2.989411413,0.122484665,,,
240,9.632091824,4.294177913,0.129340254,,,
270,9.20828726,2.0627705,0.112659247,,,
300,8.133895455,1.545065951,0.113824974,,,
330,6.859700302,1.75852167,0.07313553,,,
